course,representation,focal_strategy,num_clusters,aic
oli_gen_chem,s-bert,assessment,100,70170.19
oli_intro_bio,bert,paragraph,150,62733.86
oli_intro_bio,bert,assessment,100,62655.24
oli_intro_bio,s-bert,assessment,100,61627.14
oli_gen_chem,bert,assessment,100,69893.12
oli_intro_bio,bert,paragraph,200,62310.37
oli_gen_chem,bert,paragraph,150,71572.86
oli_gen_chem,bert,paragraph,200,71236.64
oli_gen_chem,bert,assessment,150,70083.14
oli_gen_chem,s-bert,assessment,150,69518.88
oli_intro_bio,s-bert,paragraph,150,62251.2
oli_gen_chem,s-bert,paragraph,150,70110.67
oli_intro_bio,bert,assessment,150,61212.68
oli_intro_bio,s-bert,assessment,150,61307.55
oli_gen_chem,bert,assessment,200,70050.67
oli_gen_chem,s-bert,paragraph,200,69319.12
oli_intro_bio,s-bert,paragraph,200,61299.61
oli_gen_chem,s-bert,assessment,200,69574.3
oli_intro_bio,bert,assessment,200,60228.33
oli_intro_bio,s-bert,assessment,200,59885.05
oli_intro_bio,s-bert,paragraph,10,65538.16
oli_intro_bio,s-bert,assessment,10,64714.55
oli_gen_chem,s-bert,assessment,10,72044.68
oli_gen_chem,s-bert,paragraph,10,72623.98
oli_intro_bio,s-bert,paragraph,50,63499.52
oli_gen_chem,s-bert,paragraph,50,71814.99
oli_gen_chem,s-bert,assessment,50,70779.31
oli_intro_bio,bert,assessment,10,65164.61
oli_intro_bio,s-bert,assessment,50,62261.96
oli_intro_bio,bert,paragraph,10,65234.36
oli_intro_bio,bert,paragraph,50,64163.58
oli_gen_chem,bert,assessment,10,72946.07
oli_gen_chem,bert,paragraph,10,72050.38
oli_intro_bio,bert,assessment,50,63306.88
oli_gen_chem,bert,paragraph,50,71567.54
oli_gen_chem,bert,assessment,50,70913.56
oli_intro_bio,bert,paragraph,100,63674.59
oli_gen_chem,bert,paragraph,100,70695.9
oli_gen_chem,s-bert,assessment,100,69742.48
oli_intro_bio,bert,paragraph,150,62320.68
oli_intro_bio,s-bert,assessment,100,61784.27
oli_intro_bio,s-bert,paragraph,100,62023.08
oli_gen_chem,s-bert,paragraph,100,69726.89
oli_gen_chem,bert,assessment,100,70684.41
oli_intro_bio,bert,assessment,100,62232.83
oli_gen_chem,bert,paragraph,150,70060.21
oli_intro_bio,bert,paragraph,200,62198.09
oli_gen_chem,bert,paragraph,200,70790.97
oli_gen_chem,s-bert,paragraph,150,69979.51
oli_gen_chem,bert,assessment,150,70027.84
oli_intro_bio,bert,assessment,150,60816.93
oli_intro_bio,s-bert,paragraph,150,61874.35
oli_gen_chem,s-bert,assessment,150,69657.23
oli_gen_chem,bert,assessment,200,69701.53
oli_gen_chem,s-bert,paragraph,200,70065.65
oli_intro_bio,s-bert,assessment,150,60778.07
oli_gen_chem,s-bert,assessment,200,68452.46
oli_intro_bio,s-bert,paragraph,200,60796.13
oli_intro_bio,bert,assessment,200,60347.07
oli_intro_bio,s-bert,assessment,200,59818.37
